"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285141-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285142-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285143-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285144-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285145-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285146-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285147-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285148-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285149-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285150-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285180-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285254-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285255-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285256-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285257-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285258-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285259-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285260-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285262-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285264-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285266-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285267-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285269-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285270-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285271-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285272-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285273-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285274-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285275-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285276-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285277-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285278-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285279-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285280-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285281-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285282-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285283-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285284-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285285-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285286-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285287-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285288-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285289-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285290-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285291-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285292-1","STATUS","ACTIVE","INACTIVE",""
